respondent_id,respondent_region,annual_spend_usd,signup_days,converted
1,North,"1,200",30,no
2,South,"2,500",120,yes
3,East,"980",45,no
4,West,"1,800",90,yes
5,North,,60,no
6,South,"3,100",200,yes
7,East,"1,450",50,no
8,West,"2,200",150,yes
9,North,"760",20,no
10,South,"1,950",110,yes
11,East,,40,no
12,West,"2,800",180,yes
13,North,"1,100",35,no
14,South,"2,400",130,yes
15,East,"890",25,no
16,West,"1,700",95,yes
17,North,"640",15,no
18,South,"3,400",210,yes
19,East,"1,300",55,no
20,West,"2,050",140,yes
21,North,"920",28,no
22,South,"2,700",160,yes
23,East,"1,050",48,no
24,West,"1,600",100,yes
