case,condition,run,prose_words,nonblank_lines,bullet_lines,numbered_lines,list_items,ends_with_next_action
F1,off,1,277,18,9,3,12,0
F1,off,2,296,19,10,3,13,0
F1,off,3,323,21,10,4,14,0
F1,off,4,360,21,11,4,15,0
F1,off,5,326,19,8,4,12,0
F1,on,1,170,7,0,5,5,1
F1,on,2,191,8,0,5,5,1
F1,on,3,215,14,0,5,5,1
F1,on,4,137,8,0,5,5,1
F1,on,5,162,8,0,5,5,1
F2,off,1,237,26,11,0,11,0
F2,off,2,298,21,13,0,13,0
F2,off,3,257,34,15,0,15,0
F2,off,4,290,25,13,3,16,0
F2,off,5,239,29,12,0,12,0
F2,on,1,240,10,0,5,5,1
F2,on,2,176,12,0,5,5,1
F2,on,3,194,17,0,5,5,1
F2,on,4,222,22,0,5,5,1
F2,on,5,228,23,0,5,5,1
F3,off,1,411,40,0,5,5,0
F3,off,2,426,80,5,0,5,0
F3,off,3,402,79,0,0,0,0
F3,off,4,455,52,0,5,5,0
F3,off,5,437,61,5,0,5,0
F3,on,1,308,47,0,3,3,1
F3,on,2,353,50,3,5,8,1
F3,on,3,359,56,6,8,14,1
F3,on,4,377,63,3,3,6,1
F3,on,5,452,50,9,8,17,1
